banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url,tarjeta,condiciones
BancoEstado,Kunstmann Craftbar,,,,,,miércoles sábado y domingo,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Sin tope indicado en la fuente; revisar locales adheridos y condiciones."
BancoEstado,Chicken Love You,,,,,,martes sábado y domingo,40% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Disponible en Región Metropolitana según la fuente oficial; revisar locales adheridos."
BancoEstado,Buffalo Wafles,,,,,,todos los días,40% descuento,,,,cafeteria,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Disponible en Región Metropolitana según la fuente oficial; revisar locales adheridos."
BancoEstado,Mit Burger,,,,,,martes,50% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Castillo Forestal,,,,,,martes,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,El Hoyo Mallplaza,,,,,,martes,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,La Piojera,,,,,,martes,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Nice To Meet,,,,,,martes,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Carls Jr,,,,,,martes,40% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Disponible en Región Metropolitana según la fuente oficial; revisar locales adheridos."
BancoEstado,Just Burger,,,,,,martes,40% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Disponible en Región Metropolitana según la fuente oficial; revisar locales adheridos."
BancoEstado,El Mesón Nerudiano,,,,,,miércoles,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Cantina Montt,,,,,,miércoles y viernes,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Taproom Tübinger,,,,,,miércoles a viernes,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Tropera Drugstore,,,,,,jueves,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Expendio Montt,,,,,,jueves,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Pastamore,,,,,,jueves,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,TPM Restobar,,,,,,jueves,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Green Lab,,,,,,sábado,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Kechua,,,,,,domingo,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Sin tope indicado en la fuente; revisar condiciones y locales adheridos."
BancoEstado,Castaño,,,,,,todos los días,combo café té o chocolate mediano y medialuna por $2.000,,,,cafeteria,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"Oferta publicada por BancoEstado; revisar condiciones en la fuente oficial."
BancoEstado,Tarragona,,,,,,miércoles,40% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"En toda la carta en locales Tarragona los miércoles, según la fuente oficial."
BancoEstado,Juan Maestro,,,,,,martes,30% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"Todos los martes en Juan Maestro, según la fuente oficial."
BancoEstado,Barrio Chicken,,,,,,martes,30% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"Todos los martes en Barrio Chicken, según la fuente oficial."
BancoEstado,Doggis,,,,,,martes,30% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"Todos los martes en Doggis, según la fuente oficial."
BancoEstado,Dominos Pizza,,,,,,jueves,40% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"Presencial y online los jueves; revisar condiciones en la fuente oficial."
BancoEstado,PedidosYa,,,,,,todos los días,30% descuento,5000,,,delivery,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjetas BancoEstado,"En PedidosYa Market y Restaurantes; tope $5.000, según la fuente oficial."
BancoEstado,Rappi,,,,,,todos los días,5000 descuento,5000,,,delivery,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Por compras desde $10.000, según la fuente oficial."
